MOVIE_TITLE;RELEASE_YEAR;RATING_AVG;RATING_CRITICS;RATING_AUDIENCE;VOTES_COUNT
Nikutai no mon;1964;7,4;8;7;19
Barry Lyndon;1975;9;9,2;9;541
Ice Station Zebra;1968;4,9;4;6;30
I basilischi;1963;7,1;7,6;7;42
Knock on any Door;1949;7,7;7,9;7;32
Basta che non si sappia in giro!..;1976;5,3;4,5;6;40
Basta guardarla;1970;6;5,63;6;35
Battleground;1949;7,7;7,57;8;32
Bat* 21;1988;5,8;5,5;6;32
Bataan;1943;7,9;8;8;8
Batman;1989;7,4;7,52;7;438
The Battle of the River Plate;1956;7,2;7,5;7;18
Hamisha Yamim B'Sinai;1969;5,8;5,67;6;5
Bitka na Neretvi;1969;7;6,5;7;53
Battle of the Rogue River;1957;7,4;8;7;5
Midway;1976;6,4;6;7;56
Weekend of Shadows;1978;5,3;6;5;3
Saved by the Bell: Hawaiian Style;1992;6;4;8;3
L'homme orchestre;1970;5,3;5;6;18
Funny About Love;1990;3,8;4;4;4
Beetlejuice;1988;7,2;7,55;7;313
Il... Belpaese;1977;6,2;6,29;6;50
A Fine Mess;1986;5,4;6;5;8
The Believers;1987;6,1;6;6;27
Il bell'Antonio;1959;7,7;7,73;8;100
Cannon Movie Tales: Sleeping Beauty;1989;6,8;6;8;3
La bella addormentata;1942;6,1;6,25;6;9
The Matchmaker;1958;6,8;8;6;4
The Wicked Lady;1945;6,1;5,5;7;15
The Marrying Man;1991;5,6;6,5;5;20
Shattered Image;1993;6;6;6;3
Silk Stockings;1957;7;7;7;13
The Belle of New York;1952;6,5;6,33;7;6
La bella di Roma;1955;6,6;6,78;6;44
Beauty and the Beast;1987;6,4;6;7;6
Pretty in Pink;1986;5,7;5;6;36
She Couldn't Say No;1953;5,5;5;6;12
Das blaue Licht - Eine Berglegende aus den Dolomiten;1932;6,5;6,75;6;10
La bella mugnaia;1955;5,4;5,75;5;30
